"date","share_ba","share_adv"
1979-11-01,0.180535799813796,0.0354922488111164
1979-12-01,0.180733377639359,0.0356968003067777
1980-01-01,0.180323169365387,0.0355328862887742
1980-02-01,0.17906282651887,0.0354718148437728
1980-03-01,0.178203545616494,0.035410353747194
1980-04-01,0.177824645401136,0.0355301083933042
1980-05-01,0.177585743284504,0.0356161355534359
1980-06-01,0.177468974319937,0.0360832419458156
1980-07-01,0.177192348351693,0.0364850466706291
1980-08-01,0.177705964911413,0.036639036864226
1980-09-01,0.17794935076237,0.0368747048172352
1980-10-01,0.177825255103302,0.0367806418177863
1980-11-01,0.178210352923553,0.0366428839638688
1980-12-01,0.177592735711105,0.0364357200118204
1981-01-01,0.17683551964513,0.036216740901978
1981-02-01,0.176269712551403,0.0361321504998446
1981-03-01,0.175312745364356,0.0359510053613514
1981-04-01,0.174534799526519,0.0355900067073821
1981-05-01,0.173531019146688,0.0354993039709074
1981-06-01,0.172698361389563,0.0350463913826998
1981-07-01,0.172212390763397,0.0347419022283012
1981-08-01,0.171789583460949,0.034533120972568
1981-09-01,0.1715678865154,0.0343732183980506
1981-10-01,0.171794728490655,0.0341870979222358
1981-11-01,0.171941229261817,0.0339670208855117
1981-12-01,0.172350827930156,0.0338172986282263
1982-01-01,0.172373540744038,0.0337476869100863
1982-02-01,0.172810239300514,0.0339027262856363
1982-03-01,0.173585653239653,0.0340436048070208
1982-04-01,0.174452527637171,0.0341054060303065
1982-05-01,0.175580370528294,0.0339358672741547
1982-06-01,0.17653627074356,0.0337450014742364
1982-07-01,0.177253348549266,0.0333864790254349
1982-08-01,0.177344612195169,0.0330581593869803
1982-09-01,0.177448428105506,0.0327990562290728
1982-10-01,0.177032465562039,0.0327808191489229
1982-11-01,0.17671498461739,0.0330216194859338
1982-12-01,0.176421238381801,0.0334011046613854
1983-01-01,0.177066818593615,0.0336332878945755
1983-02-01,0.177498738819329,0.033460198197294
1983-03-01,0.178109054956478,0.0337949890393796
