year_new,group,average_wage_mar26,median_wage_mar26,low_wage_mar26
1979,all_16plus,24.606908362566674,20.706115323884642,11.912768206685831
1980,all_16plus,24.028235499878587,20.1898103867024,11.44247931680088
1981,all_16plus,23.695693048570618,19.941912957979795,11.082413692167902
1982,all_16plus,23.55316818835001,19.74550132377583,10.828130423593548
1983,all_16plus,23.76621666042197,19.734242830143867,10.374132043776864
1984,all_16plus,23.843930090739732,19.70747074687225,10.045673488701533
1985,all_16plus,23.958432687851374,19.853096110199505,9.814623093924324
1986,all_16plus,24.27129194254831,20.076831149488985,9.67108205818226
1987,all_16plus,24.905643739842137,20.443179980218655,9.72408487710025
1988,all_16plus,24.9707650601874,20.428731134463867,9.655350124183332
1989,all_16plus,24.881779196799165,20.24487308807508,9.701246394306583
1990,all_16plus,24.47718982566456,20.175430063435083,9.729716718378665
1991,all_16plus,24.38600671008061,20.057462415335348,9.821995355532176
1992,all_16plus,24.557719768853126,20.148410100003158,10.018420329054889
1993,all_16plus,24.52614383689656,20.17777970400199,10.04603214173075
1994,all_16plus,24.875598991255313,20.304226573024724,10.027049155441158
1995,all_16plus,25.005196864865706,20.033431666230264,9.973022275225892
1996,all_16plus,25.055928811465286,20.004866502000393,9.971008067860843
1997,all_16plus,25.059448055735707,19.882305795592785,9.903341296900402
1998,all_16plus,25.647297950598325,20.244581148020156,10.326234384769364
1999,all_16plus,26.42080163977843,20.960182202552005,10.861315545277055
2000,all_16plus,27.006197433517777,21.39539144395643,10.963217037733335
2001,all_16plus,27.34779569493127,21.54332552533729,11.074246152035577
2002,all_16plus,28.09837820707693,22.053157141647425,11.450942726255358
2003,all_16plus,28.431532278745536,22.274185925036218,11.557720640424902
2004,all_16plus,28.733844775687068,22.616672314112208,11.582493691119673
2005,all_16plus,28.787923206350957,22.661628536544157,11.432919486665718
2006,all_16plus,28.619043620795367,22.446512972225445,11.301864664526267
2007,all_16plus,28.958448105444198,22.60834685789835,11.355557376848868
2008,all_16plus,29.280543918344318,22.624185066508424,11.496482389624555
2009,all_16plus,29.6780843486174,22.733847368751235,11.519063082584923
2010,all_16plus,30.24998216460428,23.108006827845077,11.680261153071916
2011,all_16plus,30.16106386530065,22.883459418468032,11.645205077999474
2012,all_16plus,29.616943200625034,22.385328497954383,11.407980470247185
2013,all_16plus,29.98599094357435,22.378049132373302,11.299038205879837
2014,all_16plus,30.103688748596873,22.495549802905124,11.375413006464159
2015,all_16plus,30.29515600551846,22.540831122735497,11.524033825653978
2016,all_16plus,31.44579242885702,23.082700492411167,11.955188601250297
2017,all_16plus,31.99954361451657,23.5295152850049,12.327695909456725
2018,all_16plus,32.58233692477157,23.86792348852142,12.658272096500218
