year_new,male,female,white,hispanic,asian,black
1979,0.04502005451485953,0.038281744540875094,NA,NA,NA,NA
1980,0.03680419125818558,0.04299451625330825,NA,NA,NA,NA
1981,0.04594697591280715,0.051469868195013146,NA,NA,NA,NA
1982,0.04997733531276189,0.0515502903027391,NA,NA,NA,NA
1983,0.06732373437610242,0.06450287291314445,NA,NA,NA,NA
1984,0.05327051596537697,0.054464644997878155,NA,NA,NA,NA
1985,0.04580101096613562,0.04320570918265662,NA,NA,NA,NA
1986,0.04147968770892143,0.03940890507112575,NA,NA,NA,NA
1987,0.04224873146469982,0.04275533368823206,NA,NA,NA,NA
1988,0.04334079592726976,0.033873913868082896,NA,NA,NA,NA
1989,0.0340271640670456,0.03488692063725433,0.030631289643884185,0.0744607501465217,0.06496970276688688,0.02783454095334861
1990,0.039968510895248596,0.0319189536300779,0.03164456647538116,0.07556309754097142,0.042358421266280054,0.057396114950582125
1991,0.045494233488223915,0.04219596040235358,0.03850135673779706,0.049769316133746584,0.06265865491687489,0.09140223311209973
1992,0.05556903705570385,0.04345035214041082,0.04669613407818795,0.06953962271961825,0.05475388382580194,0.06411259889170821
1993,0.05361803659168752,0.04521422934617333,0.04728686935149701,0.044168130570196557,0.07499800352644428,0.05228202212443964
1994,0.051260965899780256,0.03652762329593126,0.040090767629134084,0.03675221338718333,0.061030387886307436,0.07586018368486552
1995,0.04534473424384946,0.036375888454901306,0.038441950354188736,0.05044248712353853,0.04342245922164456,0.0505331674341927
1996,0.04312000974234761,0.03643689231464743,0.036354661775305185,0.055004243734505846,0.06436299333856058,0.05266644723303239
1997,0.039003004668311664,0.03336811436273528,0.03190973561439501,0.04644280811193029,0.044890100583785716,0.06985379904233428
1998,0.02762189316845791,0.025246291289526962,0.02288335952522772,0.044076353422547315,0.04120029793594385,0.039857101269144504
1999,0.029164804151595548,0.02770064766156264,0.02721427272904498,0.03609815686611992,0.03378988821087153,0.027650585957869084
2000,0.035043096350228065,0.031541706725951565,0.030985541245530917,0.03224679148324245,0.0356496352613761,0.056220065499622385
2001,0.03121626423994449,0.02509775560990587,0.025011666221507984,0.0404186502792478,0.036427986980666655,0.036126378497786056
2002,0.04926270047843464,0.04042668675946001,0.03986658290174751,0.06021752753673376,0.06288018561364013,0.057931515588857625
2003,0.05061195605526129,0.03912611466185006,0.03842932266327052,0.05732399096057772,0.07785233013623077,0.05191997192509294
2004,0.051978214385356394,0.04237456485054133,0.040969421297359275,0.0650603059080815,0.07505298688345007,0.061547359679430556
2005,0.04223374979435466,0.039238282572341195,0.035561886191374466,0.04926607140058538,0.0586516930847004,0.060101284677278356
2006,0.042527304385039696,0.03398763059007171,0.034920650521368814,0.0398964427354545,0.05072543481693043,0.046320763001756055
2007,0.03679964448901779,0.0336316850086754,0.03201840862315439,0.02988560214622914,0.03835933967898199,0.06007756984400082
2008,0.04296303005502366,0.03309609724579928,0.03500171855355411,0.03927180433109382,0.03805413560421187,0.054316327706490496
2009,0.05638360585865561,0.041419916594930016,0.04352624533376069,0.0584048083830576,0.05401797846882239,0.07492723535628454
2010,0.07594313535770249,0.06425603953902502,0.06002677651707683,0.08241513821901691,0.1030586700500211,0.11795804451165504
2011,0.08028634242666496,0.06713901645383566,0.060477633285968446,0.1058429479407344,0.09502979316453558,0.13676780145325979
2012,0.06759473967060316,0.057950268893043666,0.05422905485359765,0.09036132373233462,0.0790328975661263,0.08766998541425258
2013,0.060240443440070825,0.05335702852567146,0.049380765402740515,0.060153011345835464,0.06637363671800199,0.10374186729340093
2014,0.0641380045716014,0.05659329540227977,0.05279964420108893,0.06649191205538676,0.07892906871294329,0.09677288556950642
2015,0.05538886276386043,0.049233246066159655,0.041643044998703894,0.06493382273720763,0.07222978116658524,0.09944273381355212
2016,0.04198536872183771,0.041533876068931316,0.03476685137346862,0.048830354238113924,0.05758366923281228,0.07054001762786605
2017,0.047522649180136003,0.03362642076200682,0.033672038332898786,0.045417695229714235,0.05860034852225821,0.05451859321915989
2018,0.04089430973934108,0.03334889778764515,0.028965011364160572,0.05309508605653398,0.04832690590407989,0.05894124664808447
2019,0.04191608371105871,0.03214687255973529,0.03097763587713582,0.03392786007740412,0.06672035982990086,0.04839002058040488
2020,0.04609457192670196,0.03297111846569081,0.033585843465293724,0.04708844688856378,0.04933546155146275,0.05175633049478402
2021,0.08910742149458808,0.09757150817979948,0.08206456894559433,0.12790878510024878,0.11376026280175655,0.10231922976519411
2022,0.05946019352478472,0.04529484194452871,0.04414004863799118,0.05945138383569912,0.063261426452486,0.07414038644862588
2023,0.048140039622709636,0.034782483719638393,0.03766648174027398,0.041894512680171254,0.057415781730929295,0.043164627301659896
2024,0.04797600071358249,0.043082258773537815,0.03852844709316499,0.049011841086768905,0.06245931188360794,0.05733821076623545
2025,0.056415724004406295,0.043602119411629926,0.039942912867259275,0.05509981239764829,0.07508536012651898,0.07003116719817133
2026,0.06397815220900478,0.043218946740783415,0.03978018335308646,0.06418137344154623,0.07313140875798256,0.07837850904319726
