"year_new","month","epop","unemp","employment","labor_force","idled","population"
1979,1,0.555141019654784,0.0306798247458257,952393.552382151,982537.634824753,0,1715588.50573572
1979,2,0.551402559019497,0.0335013489386257,946845.023314158,979665.126562119,0,1717157.47021166
1979,3,0.549269259191967,0.0317110297785749,944306.867298444,975232.493955294,0,1719205.74744638
1980,4,0.546306492592872,0.028519490950617,940225.830406825,967827.786197027,0,1721059.2280248
1980,5,0.54962556705801,0.0251189478963017,946987.255567869,971387.487247149,0,1722967.98461692
1980,6,0.545253475837906,0.0245678507745084,940469.721939087,964156.98691686,0,1724830.31033198
1980,7,0.544357538815579,0.0275956124622678,939995.328874588,966671.213048299,0,1726797.66853205
1980,8,0.547372631183421,0.0281477323988701,946198.800994237,973603.532695134,0,1728619.12907219
1980,9,0.554872805034162,0.0240895179316814,960174.828147252,983875.924882253,0,1730441.31814702
1980,10,0.559553262251355,0.0249472405449789,969920.506403923,994736.435540199,0,1733383.70417404
1980,11,0.552267674769689,0.0272823697405764,958330.091066678,985208.925236702,0,1735263.77669366
1980,12,0.548880148459349,0.0274865113176406,953488.203475634,980436.996064186,0,1737151.91950734
1980,1,0.539317415849774,0.0371958272609213,962460.083950678,999642.618096034,0,1784589.28947099
1980,2,0.546437213969775,0.0323357723037355,976254.870606105,1008877.71053632,0,1786581.9633948
1980,3,0.543439622147074,0.0314779102904052,971828.571657817,1003413.94582876,0,1788291.71089554
1981,4,0.543529073733139,0.0346914070800173,972591.877615611,1007545.03248914,0,1789401.75349871
1981,5,0.542580548107438,0.0318175066543355,971917.833739916,1003858.09536934,0,1791287.64776039
1981,6,0.537877814117527,0.0310015708475263,964363.751891454,995217.043576558,0,1792904.86906147
1981,7,0.536962431527948,0.0311700956108984,963045.780882835,994029.784299533,0,1793506.81600285
1981,8,0.538247436639134,0.0339852062993732,966048.298684438,1000034.68371709,0,1794803.34308052
1981,9,0.538282782525239,0.0338092227827058,966497.146107038,1000317.08943717,0,1795519.33943144
1981,10,0.54215193492242,0.0313252811460354,974249.238301595,1005754.78985786,0,1797004.07864634
1981,11,0.535170451327163,0.0351739019649584,962621.182365417,997714.701463699,0,1798718.85672728
1981,12,0.531399578664531,0.0369299734207266,956955.385436376,993650.886255264,0,1800820.74555143
1981,1,0.52931518749475,0.0412411161376075,954773.937452157,995843.64069287,0,1803790.93592819
1981,2,0.531037406313513,0.0436143778648285,958130.623321215,1001824.57906691,0,1804262.01983134
1981,3,0.537673699274777,0.041363549222198,970389.089738528,1012259.7455492,0,1804791.811553
