year_new,group,employment_1,employment_2,employment_3,employment_4,employment_5,employment_6,employment_7,employment_8,employment_9,employment_10,employment_11,employment_12,employment_13,employment_NA,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_NA
2024,grads_22_27,37791.0534362793,13756.420374552408,157640.27561696369,474002.0415649414,578965.8516718546,167277.83133188882,180085.31633249918,517833.8768463135,1110421.4820251465,1211329.6712875366,497819.29214986163,175760.54598236084,886701.2000236511,0,155,44,500,1447,1776,522,554,1571,3446,3965,1556,633,3002,3393
2025,grads_22_27,35332.705128987625,9546.581871032717,189541.57956441244,415365.6309585571,518687.97665405273,157758.6253941854,172184.39883422852,560738.998550415,1135131.667415619,1280382.6247380574,474376.7658284505,191839.08900705972,907560.2774569193,0,137,33,594,1246,1686,489,527,1645,3665,4174,1482,670,3154,3177
2026,grads_22_27,29658.032526189632,6930.422740589488,188379.45101373846,469200.27854503284,557771.7779208097,188281.02433915573,139787.42811168323,549283.0251631304,1140805.5970209294,1327364.2304243608,479358.49370783026,195048.4647438743,912565.4033536044,0,111,30,497,1141,1509,452,343,1408,3035,3390,1324,595,2547,2652
1979,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214518.42913691202,552374.9753882091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1886,5328
1980,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,772072.6658070883,2251948.3693987527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7257,22220
1981,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,728289.7938143412,2320142.4300603867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7434,24989
1982,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,662266.7547976176,2390544.718773524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6056,22611
1983,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,608002.7180932363,2504395.1760279336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5662,23242
1984,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,584161.4723498026,2719027.1333446503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5213,24310
1985,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,568351.1984303793,2805307.1123193107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4863,24407
1986,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,595804.2963174185,2893441.4672546387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4875,25210
1987,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572515.5858421326,2879682.461740494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4542,24569
1988,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,581059.7401746114,2947141.3483606973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4506,24267
1989,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553114.573571523,2948685.726598104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4122,21647
1990,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,549415.6304117838,2939732.956338247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4109,22454
1991,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,589515.9487775167,2827151.0123151145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4313,22650
1992,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,555182.0748329163,2842079.4318377175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4123,22722
1993,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618918.3016764323,2775776.4538408914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4488,22163
1994,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,654335.5934537252,2869254.951924642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4461,22094
1995,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,661630.8709869385,3027129.780854543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4469,22434
1996,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,675369.6450055441,3008029.470143636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4063,21416
1997,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,658804.9330724081,3080886.4328180947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3694,19555
1998,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,680211.3435999552,2991480.7452456155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3773,18622
1999,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,643234.3547108968,2894813.379741033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3503,18031
2000,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,688244.7012023926,2933637.0929285684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3722,17851
2001,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,685613.0763441721,3105891.3121185303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3593,18225
2002,grads_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,687342.3566913605,3027870.3502025604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4069,20170
2003,noncollege_22_27,35577.64649454752,16194.332897186277,301384.5756181081,365376.1882947286,571633.1169662476,115683.62136077881,88961.31851959229,200461.96115112305,284682.1216786702,356905.8324228923,440233.87787373865,150165.37285359701,829678.302658081,8830232.923306147,243,114,1812,2074,3477,643,493,1130,1752,2196,2720,858,5273,71237
2004,noncollege_22_27,167584.26299858093,47698.22328821818,1358459.1530081432,1314875.750840505,2461407.6945667267,410218.7088076274,307923.01009368896,774906.3935953776,1133453.4486999512,1433587.5369059246,1769610.3435211182,647994.6991475424,828987.3083553314,0,1099,317,7677,7246,14166,2308,1729,4348,6519,8496,10588,3687,5127,19792
2005,noncollege_22_27,172877.61815961203,58635.847259521484,1461056.7064882915,1290513.9843333561,2510744.329521815,450197.9337043762,294748.6920407613,783453.1831576029,1188715.7092488606,1431980.1801579793,1857090.9157613118,685096.5996596018,822375.3609746298,0,1101,343,8131,6988,14055,2396,1550,4163,6589,8250,10843,3759,4903,19919
2006,noncollege_22_27,175133.70184326172,70561.08621342976,1539353.2174606323,1298395.5261678696,2556152.1682014465,460053.6846923828,258196.4463895162,841708.8054962158,1142318.1327209473,1538307.8911743164,1897055.7737998962,676881.6857147217,823556.381902059,0,1116,501,8543,6978,14293,2448,1449,4473,6493,8681,10811,3645,4792,19615
2007,noncollege_22_27,182728.06438827515,77255.14665222168,1591942.934407552,1276817.72423172,2480621.730050405,501716.27301534015,266413.3147862752,832283.6820894877,1225640.1862932842,1528471.3923123677,1910273.4008585613,652900.3038495382,875610.5469881693,0,1112,577,8727,6731,13390,2441,1400,4261,6675,8351,10626,3469,4888,19230
2008,noncollege_22_27,165984.57398986816,92716.51221211751,1538938.075059255,1265424.7442512512,2539202.7246793113,534743.6080245972,261572.37541453043,748287.9125035604,1241864.0467071533,1495851.4544881184,1929419.6447970073,679629.9177932739,880050.4162343343,0,1046,642,8181,6750,13520,2539,1320,3874,6532,8070,10576,3512,4808,19188
2009,noncollege_22_27,168535.81585184732,100205.13775761923,1230790.5401535034,1157854.7732760112,2404926.6176376343,504181.70533625287,245375.89489746094,705050.8824144999,1132207.029144287,1603340.9246126811,1981400.682317098,671986.9453773499,903227.8751080831,0,1085,718,7124,6251,12917,2635,1289,3659,6118,8561,10831,3486,4835,19501
2010,noncollege_22_27,152027.2571589152,65592.02317555745,971912.6043217976,928035.4965337117,2294823.1636772156,422540.359597524,225766.4495340983,642907.9009234111,1097894.916817983,1572668.1125322976,1939005.8697382607,671429.2146390278,868869.0406150818,0,1026,523,6232,5578,12917,2355,1284,3506,6274,8564,11092,3604,4892,20736
2011,noncollege_22_27,193636.72919718424,77671.05694961548,891084.3706550598,1009241.0244216919,2454334.1265589395,438998.38050460815,210139.8156750997,561066.5274709066,1028559.6526552836,1608798.7103703816,1963553.631778717,613307.2327359518,859806.7978159586,0,1233,542,5622,5750,13475,2281,1116,3101,5936,9013,11306,3374,4833,21169
2012,noncollege_22_27,180584.65303293863,95920.69604365031,932606.2932090759,1061464.4198608398,2437565.108999888,429807.9034347534,196221.5968030294,511518.59188842773,1053599.2809740703,1546788.3818880718,2056969.2323582966,668645.949180603,810737.640036265,0,1158,662,5064,5466,12832,2181,1027,2719,5675,8260,11210,3490,4625,21473
2013,noncollege_22_27,179207.5161272685,106020.68387095134,836972.6200345358,1013036.424466451,2544069.398100535,485561.1277287801,192807.8913269043,536371.4412943522,1053611.2943407695,1680528.7371673584,2139867.927748362,675533.4983177185,764489.4532292684,0,1153,740,4458,5325,13059,2403,962,2677,5437,8616,11151,3431,4249,20642
2014,noncollege_22_27,171973.80792999268,118621.87362925212,858903.8840916952,1093436.0306460063,2602527.6486854553,513142.2417373657,194103.82427724203,526628.62453715,1128168.5144793193,1650682.7391344707,2190469.8903897605,693152.2419382731,795016.2422612509,0,1042,740,4408,5352,12903,2393,935,2605,5559,8202,11025,3295,4140,21257
2015,noncollege_22_27,183289.4397468567,116398.68121846516,901330.3827056885,1140335.1460138957,2645969.113586426,495837.6148700714,201169.73441823325,510296.3153241476,1114960.5285568237,1646356.790406545,2244591.008911133,688595.5465100607,787125.577931722,0,1127,810,4761,5550,12916,2394,994,2456,5502,8222,11341,3318,4152,21070
2016,noncollege_22_27,185443.3485997518,100125.98197428384,877384.802743276,1232152.737291972,2634101.7783355713,545149.1342366537,172554.35658772785,506160.4057261149,1086730.1621780396,1706181.825636546,2263096.6316604614,638831.7166124979,804861.5503756205,0,1109,733,4412,5781,12328,2446,793,2432,5188,8196,10864,3102,4036,20622
2017,noncollege_22_27,208200.0034459432,57866.131215413414,965842.6320508322,1262162.7122446697,2576000.8252855935,559848.4296162924,187351.44856007892,512958.0779533386,1158953.941473643,1769113.0055363972,2253809.2696266174,690643.0221176147,860741.6854807535,0,1156,446,4716,5804,11994,2453,847,2397,5317,8456,10401,3175,4167,20099
2018,noncollege_22_27,182861.86063639322,61932.30798085531,999488.5897165934,1230481.994043986,2550124.3342056274,602441.0285593668,175458.53518168133,593231.8967793783,1180185.512304942,1782963.2340456645,2160826.505215963,656327.9517364502,886455.424853007,0,1045,453,4469,5409,11170,2494,755,2534,5047,7923,9707,2904,4025,18468
2019,noncollege_22_27,196743.06793467203,75504.33355077107,1011036.3843981425,1245031.7800572712,2375576.8905207315,703245.8038736979,163841.79240671793,538295.5636189779,1112772.3110427856,1714750.8146146138,2140954.0960477195,659145.6551411947,877312.5887654623,0,987,525,4355,5064,10152,2677,646,2201,4537,7186,9032,2837,3932,17070
2020,noncollege_22_27,176033.0287144979,56066.33561197917,1088151.2599105835,1173489.619585673,2373882.41753006,775689.2595418295,149825.0192565918,533901.0832939148,1122329.9267730713,1707415.041402181,2036123.2100016277,693736.5705464681,805751.415819804,0,825,388,4393,4739,9491,2818,597,2053,4282,6725,8233,2698,3547,14989
2021,noncollege_22_27,151300.14385732013,44751.39775848389,1033447.9492009481,952866.4452768961,2179789.839945475,692525.6401901245,97597.39647165935,456162.8622258504,924649.5929921468,1450147.1568222046,1394492.5215708415,528773.474029541,742116.4847132365,0,658,293,3793,3756,8118,2444,402,1624,3485,5460,6127,2035,2918,14103
2022,noncollege_22_27,159141.01216379803,36429.64120737712,1077039.4837341309,1060547.0031178792,2317673.1833343506,835941.2771275839,126385.35450998943,448527.92896779376,1056255.9829508464,1582694.7710774739,1683310.5854695637,638912.7112604777,741361.3607762655,0,734,230,3942,3998,8440,2850,462,1578,3685,5838,6053,2241,2744,13803
2023,noncollege_22_27,144737.33576456705,42106.38822682698,1140986.9317321777,1111113.3312632244,2173619.638633728,870692.2867660522,136823.24422454834,446464.6769460042,1104688.6235148113,1602893.7302004497,1772877.7893384297,652847.3802337646,803937.8522033691,0,641,235,4136,3855,7548,2837,451,1516,3742,5402,6003,2318,2786,12690
2024,noncollege_22_27,168113.10944620767,46469.02633921305,1251456.550086975,1114908.7085418701,2319962.7906799316,813420.3676172892,138608.15793355307,451898.52950286865,1069992.5731811523,1604057.0338948567,1866479.5603586833,681519.6478220621,807981.1134033203,0,630,236,4267,3728,7635,2590,455,1492,3497,5300,6187,2204,2889,12528
2025,noncollege_22_27,184600.9983774821,28417.775067647293,1217367.5997899373,1026161.2702102661,2175103.435066223,794061.2675704956,120212.0340092977,461851.40344746906,978496.3729578654,1622710.956258138,1812130.1249262493,662436.9644165039,854594.3120651245,0,724,187,4236,3482,7435,2619,424,1485,3296,5491,6109,2203,2954,12644
2026,noncollege_22_27,126063.5153614391,39998.77166748047,1173290.4116876775,1008346.9465678822,2351772.757855502,813258.8480862704,133342.45162686435,438362.3601712314,972658.7018515847,1696715.4723205566,1833895.9352555708,662020.9973838113,874006.5177667792,0,455,206,3424,2892,6444,2180,324,1114,2699,4720,5094,1826,2675,10777
1979,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321013.0159028371,2846186.313878695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3133,33691
1980,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1348484.1944354374,11996076.947100004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13147,141565
1981,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1426527.561065038,12288442.183026949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15551,162724
1982,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1297951.237710317,12637293.105424246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12604,149055
1983,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263471.5948931377,12508249.300667604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11950,146987
1984,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1258505.019399007,12903230.759288788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11918,144196
1985,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1272439.7102979023,13303216.82180055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11284,141745
1986,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1162536.806950887,13473514.998792648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10292,139754
1987,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1190725.4842732747,13654916.605470657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9933,135467
1988,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1140813.6059850056,13469015.07457161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9095,128633
1989,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1075995.2214749653,13315929.434527716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8023,116596
1990,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1071906.2974383037,13059565.994562784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8152,118189
1991,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1146385.8450902302,12855977.161779404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8391,117667
1992,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1072651.7580591838,12194998.798703512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7986,112415
1993,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1062866.4662742615,12102235.44424375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7696,109127
1994,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1058002.8576393127,12054408.42661794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7329,104541
1995,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,973220.5269616444,11942845.767699242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6496,98842
1996,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,932818.3256848654,11840713.471815428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5846,90842
1997,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843636.5004056295,11746171.64279302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4997,82567
1998,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,848407.7121009827,11753466.446057001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4812,80307
1999,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,814268.3175322214,11622338.861825943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4557,77572
2000,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,837000.491569519,11571511.088039398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4537,76720
2001,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,857615.3962917328,11720832.393814087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4668,76117
2002,noncollege_22_27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,840482.8159821827,11663538.951936087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5019,84411
