cps_code,AIOE,dv_rating_beta,human_rating_beta,genaiexp_estz_total,genaiexp_estz_core,ai_applicability_score,pca_score
8865,-1.083517872,0.097134046,0.048567023,0.078592257,0.078592257,0.071634802,-2.252764099
8910,-0.6395226,0.136363636,0.03030303,0.033333335,0,0.086996976,-2.214915308
8920,-1.183408,0.070981555,0.046565191,0.006578947,0,0.096536393,-2.536677075
8930,-0.8740445,0,0.026315789,0,0,0.090888257,-2.615915661
8940,-1.610915,0.019230769,0,0,0,0.011765051,-3.217741725
8950,-1.411304,0.088888889,0.055555556,0.029411765,0,0.021475905,-2.80751074
8990,-0.6372312,0.234375,0.0625,0.14583333,0.083333336,0.105188632,-1.540674831
9005,-0.7091902,0.3,0,0.16666667,0,0.110323886,-1.684471669
9030,-0.198375888,0.313301162,0.223375571,0.108234636,0.076368284,0.137567644,-0.85018196
9040,0.867981128,0.351541202,0.316387082,0.133404609,0.073572504,0.188419808,0.065402769
9050,-0.7621183,0.166666667,0.145833333,0.1,0.1,0.301259844,-0.889848946
9110,-0.8298703,0.090909091,0.045454545,0,0,0.047331026,-2.546519005
9121,0,0.323529412,0.176470588,0,0,0.164756865,-1.087647347
9122,-0.605453,0.240740741,0.166666667,0,0,0.238109547,-1.243979956
9130,-1.09058785,0.310089423,0.190945036,0.135874608,0.125885549,0.130911427,-1.163420114
9141,0,0.25,0.173076923,0,0,0.154106668,-1.269427426
9142,0,0.28125,0.25,0,0,0.201461583,-0.884150618
9210,-0.52900571,0.278124114,0.215748087,0.071653918,0.071653918,0.127305041,-1.175510104
9240,-0.4662731,0.277777778,0.208333333,0.18181819,0.13636364,0.155059537,-0.746585943
9265,-1.403174041,0.269635412,0.110848793,0.152805988,0.111798501,0.072909373,-1.735680236
9300,-1.150001,0.042553191,0.010638298,0.035714287,0,0.064488805,-2.713533862
9310,-0.45710535,0.247023853,0.204046175,0.124931576,0.124931576,0.128756556,-1.025053156
9330,-0.5264951,0.171875,0.140625,0.23529412,0.23529412,0.024947534,-1.285863549
9350,-0.8353891,0.107142857,0.125,0,0,0.221438624,-1.730586651
9365,-1.221489,0.130434783,0.065217391,0,0,0.044187205,-2.603218463
9410,-0.18376,0.412575758,0.234393939,0.22539683,0.092063494,0.133552041,-0.416318553
9415,-0.3752249,0.222222222,0.138888889,0.14285715,0.071428575,0.472999433,-0.007757439
9430,0.127111042,0.416155545,0.328633071,0.273988674,0.105339809,0.095614469,-0.116249308
9510,-1.030619,0.184210526,0.026315789,0,0,0.071413517,-2.407356766
9570,-0.78322396,0.091168822,0.129545933,0.076634663,0,0.052704097,-2.202213689
9600,-1.39869,0.03125,0.03125,0,0,0.013095858,-3.040559211
9610,-1.629897,0.083333333,0,0,0,0.038752468,-3.009416167
9620,-1.704648846,0.04173913,0.040869565,0.075196814,0.023746362,0.053873166,-2.801310061
9630,-1.037413,0.090909091,0.090909091,0.07692308,0.07692308,0.019375993,-2.353089479
9640,-1.51362,0.1,0.1,0.083333336,0.083333336,0.069723824,-2.306510453
9645,-0.789294235,0.181818182,0.190909091,0.083333276,0.066666622,0.122967713,-1.515901734
9650,-0.943415912,0.129086401,0.071108868,0.053699156,0.053699156,0.095077076,-2.098567234
9720,-1.283373,0.196428571,0.232142857,0.03125,0,0.046120004,-2.103401409
9760,-1.38776,0.071428571,0.125,0.10526316,0.10526316,0.079918245,-2.139376626
